Age,sex,BL,aSB_Height,aSB_Width
0,4,,5235.34,277.1,262.5
1,4,,4754.573,296.56,272.23
2,4,,4460.515,364.61,330.56
3,4,,5904.6,412.3,388.8
4,4,,6861.214,307.1,251.8
5,5,,5268.458,417.7,380.7
6,5,,6720.852,442.14,399.1
7,5,,6631.383,515.8,466.7
8,5,,7491.901,454.4,399.2
9,5,,7129.81,393.0,362.3
10,6,,6297.997,393.0,362.3
11,6,F,7734.181,481.6,426.4
12,6,,7942.681,505.3,465.9
13,6,F,8755.563,584.4,466.1
14,6,F,9869.879,617.6,540.2
15,7,F,8778.909,544.8,473.8
16,7,,7389.905,457.96,410.5
17,7,F,9900.228,601.98,562.5
18,7,F,9695.609,641.45,530.5
19,7,,5338.773,,
20,8,,8084.318,473.75,473.68
21,8,,8633.382,544.8,526.98
22,8,,9730.253,702.7,608.1
23,8,F,9141.439,600.2,558.6
24,8,,10129.192,701.3,572.5
25,9,F,9435.78,592.1,572.5
26,9,,8449.143,544.8,481.8
27,9,,7744.944,513.2,481.6
28,9,F,9487.054,671.7,533.3
29,9,F,8173.058,497.4,450.6
30,10,M,10457.418,689.5,563.9
31,10,F,10342.215,614.4,562.5
32,10,F,10375.425,641.5,601.98
33,10,M,9632.222,631.9,532.9
34,10,F,11103.593,641.48,641.52
35,11,F,11022.75,730.9,651.4
36,11,F,9845.129,592.4,530.4
37,11,,8506.842,453.9,421.9
38,11,F,11383.348,730.5,651.4
39,11,F,12021.317,769.99,700.7
40,12,M,11290.429,789.5,641.4
41,12,M,12564.092,836.4,641.5
42,12,F,12167.867,789.5,651.4
43,12,F,10505.769,631.9,612.2
44,12,F,12672.078,769.99,710.5
45,13,M,10871.883,745.1,677.38
46,13,F,12492.207,839.7,751.0
47,13,F,12306.737,789.5,668.7
48,13,M,10817.626,809.3,690.86
49,13,F,11961.364,829.0,721.0
50,14,M,10129.296,632.8,523.12
51,14,M,11123.0,751.0,633.5
52,14,M,10914.435,779.7,661.3
53,14,M,10673.102,809.3,690.9
54,14,F,11886.7,759.9,671.1
55,15,F,13043.597,884.6,724.6
56,15,M,10605.538,823.6,676.44
57,15,M,11584.156,884.3,687.7
58,15,F,12439.125,798.3,638.7
59,15,M,11752.802,859.7,749.1
